File,mCNV Area,Vessel Area,Vessel Junctions,Vessel Length,Fractal Dimension,Tortuosity,Vessel Density,Junction Density,Vessel Diameter
AA (1).tif,0.306,0.154,24,5.121,1.371,1.141,0.503267974,4.686584651,30.07225151
AA (2).tif,0.391,0.193,43,6.853,1.32,1.112,0.493606138,6.274624252,28.16284839
AA (3).tif,0.291,0.149,26,4.955,1.28,1.146,0.512027491,5.247225025,30.07063572
BB (1).tif,0.611,0.297,58,10.22,1.359,1.12,0.48608838,5.675146771,29.06066536
BB (2).tif,0.837,0.395,86,13.69,1.377,1.1,0.471923536,6.281957633,28.8531775
CC (1).tif,0.416,0.211,34,6.539,1.304,1.141,0.507211538,5.1995718,32.26793088
CC (2).tif,0.49,0.25,54,8.298,1.297,1.111,0.510204082,6.507592191,30.12774162
CC (3).tif,0.591,0.296,68,10.33,1.391,1.107,0.500846024,6.582768635,28.65440465
DD (1).tif,0.579,0.282,49,8.88,1.348,1.117,0.487046632,5.518018018,31.75675676
DD (2).tif,0.911,0.433,81,14.063,1.351,1.122,0.475301866,5.759795207,30.79001635
EE (1).tif,0.156,0.079,14,2.666,1.194,1.126,0.506410256,5.251312828,29.6324081
EE (2).tif,0.274,0.136,23,4.516,1.325,1.118,0.496350365,5.093002657,30.11514615
EE (3).tif,0.203,0.102,17,3.547,1.287,1.156,0.502463054,4.792782633,28.7566958
FF (1).tif,0.581,0.269,43,8.402,1.291,1.157,0.462994836,5.117829088,32.01618662
FF (2).tif,0.777,0.362,68,11.82,1.341,1.104,0.465894466,5.752961083,30.62605753
GG (1).tif,0.175,0.088,10,2.616,1.327,1.188,0.502857143,3.822629969,33.63914373
GG (2).tif,0.343,0.174,35,5.988,1.299,1.145,0.50728863,5.84502338,29.05811623
GG (3).tif,0.205,0.108,20,3.444,1.407,1.126,0.526829268,5.807200929,31.35888502
HH (1).tif,0.898,0.413,78,13.231,1.379,1.102,0.459910913,5.895246013,31.21457184
HH (2).tif,1.928,0.85,174,28.443,1.399,1.107,0.440871369,6.117498154,29.88433006
HH (3).tif,1.951,0.858,183,29.315,1.389,1.11,0.439774475,6.24253795,29.26829268
II (1).tif,0.702,0.342,73,12.091,1.402,1.13,0.487179487,6.03754859,28.28550161
II (2).tif,1.174,0.544,103,17.678,1.352,1.113,0.463373083,5.826450956,30.77271185
II (3).tif,0.874,0.41,69,13.096,1.354,1.116,0.469107551,5.268784362,31.3072694
II (4).tif,0.562,0.267,55,9.485,1.403,1.114,0.475088968,5.798629415,28.14971007
II (5).tif,0.636,0.309,69,10.888,1.343,1.102,0.485849057,6.337252021,28.37986774
Average Values:,0.648538462,0.306576923,59.88461538,10.2375,1.341923077,1.124269231,0.486144869,5.643845162,30.0877432
